id,artist,title,alt_text,description,date_created,date_acquired_or_updated,institution,medium,image_url,mediums_parsed
W349,5,Plane Tree Reversal,"The image shows swirling, cloud-like shapes and stark, splattered lines against a dark background. The composition is intricate, with the splatters resembling fireworks or frozen paint splashes. The contrast between light and dark areas emphasizes the complexity of the abstract forms.",,1965,1983,7,lithograph (stone) in black on Copperplate Deluxe paper | Print,"https://api.nga.gov/iiif/b91ee299-01eb-423f-a55a-5f3767491fb7/full/!200,200/0/default.jpg","[""M02""]"
W350,5,Plane Trees,"The image shows irregular black shapes and splatters across a white background. The design features blotches reminiscent of ink spills or clouds, with some splatters spreading outward. These forms contrast with the white background, creating an abstract composition.",,1965,1983,7,lithograph (stone) in black on Rives BFK paper | Print,"https://api.nga.gov/iiif/558423c3-2166-48df-8fd2-adeca9d86848/full/!200,200/0/default.jpg","[""M02""]"
W351,5,Plane Trees II,,,1965,1983,7,lithograph (stone) in blue-black on white Arches paper | Print,,"[""M02""]"
W352,5,Aiko,,,1965,1983,7,lithograph (stone) in black on white Arches paper | Print,,"[""M02""]"
W353,5,Spring,The image shows an array of splattered shapes and lines creating an abstract composition. At the center is a large green splatter with radiating lines. Surrounding this are various other splashes and irregular circular forms in green and gray tones. The overall appearance suggests natural elements like moss or lichen.,,1965,1983,7,lithograph (stone) in two greens and green-brown on white Arches paper | Print,"https://api.nga.gov/iiif/c02bc6b5-ca4b-4999-942e-cf5f18f11f58/full/!200,200/0/default.jpg","[""M02""]"
W354,5,Succulents,"The image shows three large, stylized white flowers with intricate petal patterns set against a dark, textured background. The color palette is primarily monochrome, using shades of black, white, and gray for contrast and depth. The composition places one flower in the upper right quadrant, another towards the upper left, and the third in the lower left, slightly off-center. The flowers overlap slightly, forming a cohesive layout.",,1965,1983,7,lithograph on wove Nacre paper | Print,"https://api.nga.gov/iiif/f8a1c610-7ccf-4522-91ac-66f4bebea2d8/full/!200,200/0/default.jpg","[""M02""]"
W355,5,Umakichi,"The image displays a frontal view of a person's upper body. The person is centered and appears to be facing directly forward, giving a full view of the face. The facial features are somewhat abstract with subdued detail and the person's hair is short, forming a slight outline around the head. They are wearing a plain dark garment, contrasting with the lighter tone of the face. Around the person's neck is a rectangular pendant hanging on a string with visible decorative elements. The background is uniformly dark.",,1965,1983,7,lithograph on natural Nacre paper | Print,"https://api.nga.gov/iiif/e35e5f12-4b9f-489d-bb22-a535c6068fc2/full/!200,200/0/default.jpg","[""M02""]"
W356,5,Umakichi,The image depicts a person's face and upper torso. The individual is facing forward with obscured facial features and short hair. They are wearing a dark garment and a pendant necklace with floral decorations. The background is a solid dark color.,,1965,1983,7,lithograph (stone) in dark brown on buff Arches paper | Print,"https://api.nga.gov/iiif/9ed7f0b9-d072-4c00-9ca4-0d210613e10a/full/!200,200/0/default.jpg","[""M02""]"
W357,5,Umakichi,,,1965,1983,7,lithograph (stone) in black on white Arches paper | Print,"https://api.nga.gov/iiif/7803704e-2fcd-412c-bef9-a1f817d622ee/full/!200,200/0/default.jpg","[""M02""]"
W358,5,Umakichi,"The image shows a person's upper body centered within the frame, facing the viewer directly. The facial features are obscured due to the negative and grainy nature of the photograph, but a broad face, eyes, and short hair can be made out. They wear a textured garment and a pendant or medallion around the neck. The background is ornate with intricate designs resembling large floral bursts scattered around. The overall background is richly detailed with dark, abstract patterns blending seamlessly into the artwork's atmospheric style.",,1965,1983,7,lithograph (stone) in black on Rives BFK Type V paper | Print,"https://api.nga.gov/iiif/f560b794-ab24-49c2-9272-bce633674368/full/!200,200/0/default.jpg","[""M02""]"
W359,5,Chrysanthemums,,,1965,1983,7,lithograph (stone) in black on white Arches paper | Print,,"[""M02""]"
W360,5,Chrysanthemums,,,1965,1983,7,lithograph (stone) in brown-red and red-black on white Arches paper | Print,,"[""M02""]"
W361,5,Chrysanthemums,,,1965,1983,7,lithograph (stone) in red-black on Fabriano paper | Print,,"[""M02""]"
W362,5,Pigeons on Cobblestone,"This is a painting of several birds on a cobblestone surface. The image depicts a group of birds with spread wings against a textured background of cobbled stones. The birds are illustrated with a high level of detail, capturing the patterns of their feathers. The cobblestones vary in shade, creating a contrast with the birds, and suggest depth and perspective. This is in the style of a monochrome wash technique.",,1965,1983,7,lithograph (stone) in black on Copperplate Deluxe paper | Print,"https://api.nga.gov/iiif/46cb3aef-989a-4f5b-b380-72b751946c72/full/!200,200/0/default.jpg","[""M02""]"
W363,5,Poppy,,,1965,1983,7,"lithograph (aluminum and stone) in yellow, red anddark green-blue on white Arches paper | Print",,"[""M02""]"
W364,5,Untitled,"The image consists of soft, swirling forms and delicate, wavy lines creating an abstract composition, suggesting gentle motion or wisps of smoke. The shapes resemble blurred clouds or fluffy cotton balls, giving the appearance of light and airy. The overall effect is dreamlike and ethereal, resembling a foggy scene where forms seem to appear and dissolve seamlessly.",,1965,1983,7,lithograph (stone) in black on German Etching paper | Print,"https://api.nga.gov/iiif/df0a7a29-0788-4cad-8c29-bf174cd5eeb4/full/!200,200/0/default.jpg","[""M02""]"
W365,5,Babies,,,1965,1983,7,lithograph (stone) in black on white Arches paper | Print,,"[""M02""]"
W366,5,Haru,"The image shows a portrait focusing on the upper body of a person. The person's face appears somber and is oriented slightly to their right. They have a smooth, rounded hairstyle parted in the middle, and the hair appears neatly combed back on both sides. The eyes have a contemplative expression. The individual is dressed in traditional or formal attire, seemingly a robe or kimono, characterized by overlapping layers and a pleated section visible at the neckline area. The style of clothing involves an outer garment draped over the shoulders. The background is plain.",,1965,1983,7,lithograph (stone) in black on white Arches paper | Print,"https://api.nga.gov/iiif/38d1cb09-6cf3-44d7-bab8-2f933dc8bd7d/full/!200,200/0/default.jpg","[""M02""]"
W367,5,Owl,"The image features swirling shapes and bold lines creating a visually striking abstract composition. Dark and light shades intermingle, resembling smoke or cloud formations. Varied textures and overlapping patterns are present, which may suggest a bird in flight or the depths of the ocean. The abstract nature invites multiple interpretations for viewers to explore.",,1965,1983,7,lithograph (stone) in black on Copperplate Deluxe paper | Print,"https://api.nga.gov/iiif/d4e827f7-866e-41d2-867a-f4d370d6cc10/full/!200,200/0/default.jpg","[""M02""]"
W368,5,Untitled,"The image displays irregular circular shapes and organic lines, creating an abstract composition. These forms resemble ink blots or petri dish cultures, with fuzzy edges and contrast between light and dark areas. The image suggests textures found in natural elements like stones, clouds, or biological patterns.",,1965,1983,7,lithograph (stone) in black on Rives BFK Type IV paper | Print,"https://api.nga.gov/iiif/0242c13d-8827-4a0a-af7b-266e5c1946f0/full/!200,200/0/default.jpg","[""M02""]"
W369,5,Untitled,,,1965,1983,7,lithograph (zinc and stone) in blue and dark blue-violet on Rives BFK Type III paper | Print,,"[""M02""]"
W370,5,Untitled,,,1965,1983,7,lithograph (stone) in pink on Copperplate Deluxe paper | Print,,"[""M02""]"
W371,5,Nude,"The image shows an artistic representation of a person lying down, from the shoulders down to about the knees. The person is on their side with one arm bent under the head, and the other arm resting in front. The face has long hair around it and soft facial outlines. The person is nude with an abstract pattern around them, which may suggest a bed or surface. A sheet of paper or similar object is visible next to the person. The background has a textured, cross-hatched pattern in a dark tone.",,1965,1983,7,lithograph (stone) in black on Copperplate Deluxe paper | Print,"https://api.nga.gov/iiif/636cadf2-65f5-4e44-83f1-7e837c7b4ce0/full/!200,200/0/default.jpg","[""M02""]"
W372,5,Nude,"The image is characterized by swirling shapes and dense lines, creating depth and texture. In the upper left, a dark silhouette resembling a draped human figure is visible. Below, there are irregular shapes and blots in grayscale that suggest a rocky or cloud-like surface, with details resembling craters or a moonscape. The composition gives the impression of a dynamic and organic landscape against a subdued background.",,1965,1983,7,lithograph (stone) in black on Copperplate Deluxe paper | Print,"https://api.nga.gov/iiif/8d640420-cd35-48fe-9aa7-b8ac1d54ebad/full/!200,200/0/default.jpg","[""M02""]"
W373,5,Faces,"The image shows a drawing of three figures, with the full upper bodies depicted. In the center, there is a baby sitting with its hands together, wearing a checkered hooded outfit that covers its head. The baby has large eyes and a small mouth. Flanking the baby are two adult figures with distinct facial features. The figure on the left has bushy eyebrows and unruly hair, while the figure on the right wears large round glasses and has long, sketchy hair. The background is plain, highlighting the black and white figures with detailed shading and cross-hatching.",,1965,1983,7,lithograph (stone) in black on Rives BFK Type V paper | Print,"https://api.nga.gov/iiif/13d3bce4-48cc-42fb-9a04-5c3d96842484/full/!200,200/0/default.jpg","[""M02""]"
W374,5,Owl II,,,1965,1983,7,lithograph (zinc and stone) in brown and black on white Arches paper | Print,,"[""M02""]"
W375,5,Untitled,"The image shows three clusters of abstract circular forms resembling floral shapes. The largest cluster is on the left and slightly below the other two. The color palette includes soft pastel shades like purple, red, pink, and green against a creamy off-white background. The top-right cluster has a denser concentration of red and pink, while the left cluster has more prominent purple and red hues. Small green details are scattered throughout, suggesting leaves among the abstract shapes.",,1965,1983,7,"lithograph (stone) in red, green and violet on German Etching paper | Print","https://api.nga.gov/iiif/771f34a6-c576-401b-9032-dc0f8aba4d61/full/!200,200/0/default.jpg","[""M02""]"
W376,5,Nasturtiums,,,1965,1983,7,"lithograph (stone and zinc) in brown, orange and yellow-green on white Arches paper | Print",,"[""M02""]"
W377,5,Chair,"The image shows an abstract representation of a chair created using woven lines and shapes. The design includes circular and oval forms resembling a rattan or wicker chair with a round backrest and two armrests. The surrounding background consists of small squares forming a mosaic-like pattern. The composition mixes familiarity with abstraction, maintaining a stylized and patterned appearance.",,1965,1983,7,lithograph (stone) in black on Copperplate Deluxe paper | Print,"https://api.nga.gov/iiif/0253435f-26aa-4006-8d4a-31b993fc0a4e/full/!200,200/0/default.jpg","[""M02""]"
W378,5,Hudson,"The image shows a sketch of a person depicted from the side, capturing their upper body and head. The individual appears to be in a seated position, leaning forward with hands clasped in front. The facial features are shown in profile, with minimal detail in the shading, and the hair is short and appears neatly styled. The person is wearing a checkered or patterned garment, which is visible on their shoulders. A book is open and held in front of the person, with indistinct markings across its pages. The background is a blank canvas.",,1965,1983,7,lithograph (stone) in black on white Arches paper | Print,"https://api.nga.gov/iiif/acf75801-98c4-434a-920d-01ee9ff83873/full/!200,200/0/default.jpg","[""M02""]"
W379,5,Bud,"The image shows a side profile of a person's head and shoulders. The individual is depicted facing to the right with their head slightly tilted upward. Their features are drawn with simple lines — closed eyes, eyebrows, and a hint of hair on a balding head. The person wears a collared shirt with vertical stripes and a checkered tie. The background is plain and unadorned, emphasizing the focus on the subject's profile.",,1965,1983,7,lithograph (stone) in black on white Arches paper | Print,"https://api.nga.gov/iiif/02374600-a680-4f00-8790-ad20be7e5c4e/full/!200,200/0/default.jpg","[""M02""]"
W380,5,Fritz and Larry,"The image displays a sketch of two facial profiles. The first profile shows closed eyes, a prominent nose, and expression lines. The second profile depicts a person wearing glasses with round cheeks, a small nose, and closed lips. The hair is suggested with short lines over the head, with indications of sideburns. The sketch is rendered in black and white, using minimal lines for defining features and shading. The background is a plain, beige, textured paper. No clothing, jewelry, or objects are present in the image.",,1965,1983,7,lithograph (stone) in black on white Arches paper | Print,"https://api.nga.gov/iiif/7d3b505f-9ce6-46e9-821c-29415a76a112/full/!200,200/0/default.jpg","[""M02""]"
W381,5,Henry and Adam,"The image shows a close-up of the upper half of a person's head and hand. The person is positioned facing downward with their profile visible from a side view. The individual's facial features are not detailed, but the side of the nose and closed eyelid are outlined. The person has short, light hair and the hand appears to be held near the mouth, suggesting a fist. The surrounding area includes textured, wavy lines in the background.",,1965,1983,7,lithograph (stone) in black on white Arches paper | Print,"https://api.nga.gov/iiif/ce2cccab-7a1b-4eca-88ca-ca6b8591c870/full/!200,200/0/default.jpg","[""M02""]"
W382,5,Paul,"The image shows a young child from the shoulders up in the center, looking slightly to the right. The child has short, straight hair with bangs, an open mouth, and wide eyes. Two puppet-like figures with exaggerated facial features are on either side of the child. One puppet has a mustache, and the other wears a headscarf tied under the chin. The background features a sketchy, textured pattern suggesting an interior space with no specific details.",,1965,1983,7,lithograph (stone) in black on white Arches paper | Print,"https://api.nga.gov/iiif/6353aec3-d3a6-4b09-b77c-a6dc6a7ad035/full/!200,200/0/default.jpg","[""M02""]"
W383,5,Xavier,"The image depicts the head and shoulders of a young person facing forward. The person has a smooth face with large eyes, delicate eyebrows, a small mouth, and short hair. They are wearing a shirt with vertical stripes. The background is a plain, light-colored surface. No additional objects or jewelry are present in the image.",,1965,1983,7,lithograph (stone) in black on white Arches paper | Print,"https://api.nga.gov/iiif/33ec2f16-d58b-41dd-b6e3-d0d7e170b8ad/full/!200,200/0/default.jpg","[""M02""]"
W384,0,Cloud Mountain,"The sculpture displays multiple flat, curved forms resembling cut-out sheets of metal. These forms overlap and intersect at various angles. There are three vertical sections that overlap and descend in height, and they appear to be connected by one horizontal section that intersects with them perpendicularly. The sculpture is primarily gray with a textured, speckled surface containing some areas that appear pale blue and dark green.",,"started 1982, published 1983",1986,7,galvanized steel | Sculpture,"https://api.nga.gov/iiif/0b91fd06-67d3-4945-874c-a38964aa7b87/full/!200,200/0/default.jpg","[""M06""]"
