id,artist,field_name,text,date,institution
IT17,0,biography,"Over the course of his prolific, six-decade career, Isamu Noguchi explored nearly every available mode of art making. He produced drawings, sculptures, ceramics, and photographs, but also designed stage sets, playgrounds, furniture, and garden landscapes. In 1944 Noguchi began constructing a series of abstract sculptures comprised of flat, interlocking components. His encounter with the organic shapes (or “biomorphs”) that Surrealist artists were using to visually evoke dream states and the unconscious influenced his embrace of these curved, subtly anthropomorphic forms.

Noguchi developed a step-by- step process that involved drawing, model making, collage, and enlargement to create his sculptures. Work Sheets for Sculpture demonstrates a preliminary stage of this process. Noguchi first sketched shapes suggestive of bones and boomerangs on black paper, cut them out, and then arranged them into small models. This technique allowed the artist to test the configurations’ stability and make any adjustments prior to executing the final structures. He then mounted the excised graph paper, which he used to calculate the measurements required for enlarging and transferring elements, onto slabs of slate, marble, or wood. For Humpty Dumpty, Noguchi selected ribbon slate and combined the five interlocking units into an upright, freestanding sculpture. Instead of affixing the pieces with adhesive, dowels, or pins, he manipulated properties of balance and gravity. While one segment hangs, another offers crucial support. The result suggests a state of precariousness; removing even one element risks inciting collapse. The work’s title underscores the sculpture’s fragility: it invokes the familiar children’s nursery rhyme of the same name, in which “all the king’s horses and all the king’s men / couldn’t put Humpty together again.” Noguchi’s interpenetrating sculptures—made in the years during and following World War II—offer a potent reminder of humanity’s delicate interconnectedness.",2026,0
IT18,0,wikidata_id,"Isamu Noguchi (野口 勇, Noguchi Isamu; Japanese: [noꜜgɯtɕi isamɯ], English: ; November 17, 1904 – December 30, 1988) was an American artist, furniture designer and landscape architect whose career spanned six decades from the 1920s. Known for his sculpture and public artworks, Noguchi also designed stage sets for various Martha Graham productions, Akari light sculptures, and furniture pieces, many of which are still manufactured and sold. His work is displayed at the Isamu Noguchi Foundation and Garden Museum in New York City as well as many other museums.",2026,0
IT19,0,description,"Mr. Isamu Noguchi (American, 1904–1988)",2026,4
IT20,0,did_you_know,"Noguchi said, ""You can find out how to do something and then do it, or do something and then find out what you did.""",2026,4
IT21,0,artist_tags,"Asian American, male",2026,4
IT22,0,category_titles,"Contemporary works by BIPOC artists, summer 2021",2021,4
IT23,0,nationality-and-dates,"American, 1904 - 1988",2021,6
IT24,0,biography,"Isamu Noguchi regarded his sculptures not as rarefied art objects, but as living forms capable of activating and transforming the spaces they inhabit. Drawing inspiration from ancient forms--from Japanese temples to Native American burial mounds--Noguchi intended for his work to serve an integral role in its physical and spiritual environment.  
  
Noguchi's mother was an American teacher and writer and his father an acclaimed Japanese poet. His mother raised him in Japan before being sending Noguchi alone to attend high school in Indiana. Noguchi moved to New York to attend Columbia University in 1922, but left in 1924 to become a sculptor. In 1927 the young artist went to Paris where he worked as sculptor Constantin Brancusi's studio assistant. Later he traveled to China, Japan, and Mexico.  
  
Returning to New York at the end of 1928, Noguchi began designing plazas, playgrounds, gardens, fountains, and sculpture gardens. He also created portrait busts and dance and theater sets. In 1942, Noguchi voluntarily entered a Japanese-American relocation camp in Arizona for six months. There, he designed a camp recreation area in order to improve the environment for internees, but this project was never realized. Back in New York, Noguchi created a series of mixed-media constructions to articulate his anguish in the face of World War II. By the war's end, a suite of abstract forms executed in marble and slate had established Noguchi's reputation.  
  
Growing fame enabled Noguchi to ambitiously explore what he called ""the sculpture of spaces""--working to make sculpture a part of daily life. His furniture designs were mass-produced by the Herman Miller Furniture Company and by Knoll. He created innovative stage sets for avant-garde choreographers including Martha Graham. Synthesizing Eastern and Western influences in a personal aesthetic, Noguchi designed numerous playgrounds, sculpture gardens, and courtyards. He also continued making sculptures and worked with a range of materials including Italian marble and granite, aluminum and bronze. Several years before his death, he opened his Long Island City home and studio to the public, now known as the Noguchi Museum.",2021,6
IT25,0,ulan_url,"Modernist sculptor and designer was born in Los Angeles to Yone Noguchi, a Japanese poet and teacher, and Leonie Gilmore, an American novelist. His early years (1906-1918) were spent in Japan. He attended high school in Indiana. After high school he worked briefly for the American sculptor Gutzon Borglum and later studied in Paris (1927-1928) where he met Calder, Giacometti, and Brancusi, in whose studio he worked for six months. He traveled frequently and spent time in New York, London, Beijing, (post-war) Japan, and Mexico. He worked as a portraitist and decorator during the war years, and from 1935 began designing sets for the stage, most notably for Martha Graham. He worked primarily as a sculptor, but created designs for parks, monuments, playgrounds, fountains, and gardens. His designs for furniture and lighting (akari) remain in production.",2026,3
IT26,14,artistDisplayBio,"born Da Nang, Viet Nam 1969",2026,3
IT27,7,wikidata_id,"Oscar yi Hou (born 1998) is a New York City–based British Chinese painter and poet.

He is known for his portraits that are ""never purely figurative, but position characters as richly complex ciphers"", engaging with the “subterranean semiotics” of his communities. His oil-on-canvas works make reference to a variety of visual cultures and histories, from pop culture to art history, including Dragon Ball Z or Martin Wong.",2026,1
IT28,8,ArtistBio,"American, born 1969",2026,0
IT29,8,Gender,female,2026,0
IT30,8,,"Sarah Sze created Strange Attractor for a specific site—the area in front of the massive window on the fourth floor of the Whitney Museum’s Marcel Breuer–designed building— as part of the 2000 Biennial exhibition. Intended to be viewed both in the gallery and from Madison Avenue, seventy-five feet below, the sculptural installation veritably explodes into space, its hundreds of parts radiating in multiple directions, extending up even past the open grid of the ceiling. The work has an additional local resonance: Sze sourced all of the materials used in its making from the neighborhood around the Museum. They are ordinary objects— aspirin tablets, plastic spoons, balsa wood, metal ladders, and paper tickets—similar to items found in the artist’s other intricate, architecturally scaled constructions. Other elements render the arrangement dynamic: mirrors cause volleys of reflection; small whirring fans set bits of paper in motion; a humidifier dispenses steam; and water flows through a set of clear plastic tubes. These activities lend the work qualities of a delicate, organic ecosystem, in which interdependent parts change over time. (Sze’s title is a mathematical term, describing the pattern of behavior in a chaotic system.) Yet, in spite of the work’s subtle motion and initial sense of unruliness, Strange Attractor registers a finely calibrated equilibrium. Sze’s installations are precisely planned and configured.",2026,1
IT31,8,wikidata_id,"Sarah Sze (; born 1969) is an American artist and professor of visual arts at Columbia University. Sze's work explores the role of technology, information, and memory using everyday materials. Her work often represents objects caught in suspension. Drawing from Modernist traditions, Sze confronts the relationship between low-value mass-produced objects in high-value institutions, creating the sense that everyday life objects can be art. She has exhibited internationally and her works are in the collections of several major museums.",2026,1
IT32,8,,"Born Boston, MA 1969. Active in New York, New York, United States.",2026,2
IT33,8,description,"American, b. 1969",2026,4
IT34,8,did_you_know,"Sze was originally trained as a painter and her study of that medium informs her sculpture—here, paint is a sculptural element.",2026,4
IT35,8,artist_tags,"Asian American, female",2026,4
IT36,9,wikidata_id,"Wu Tsang (born 1982 in Worcester, Massachusetts) is a filmmaker, artist and performer based in New York and Berlin, whose work is concerned with hidden histories, marginalized narratives, and the act of performing itself. In 2018, Tsang received a MacArthur ""genius"" grant.

According to Tsang, her films, videos, and performances look to explore the ""in-betweeness"" in which people and ideas cannot be discussed in binary terms. Generally, her films form a hybrid of narrative and documentary; they do not conform fully to one form or the other.

Her projects have been presented at the Tate Modern (London), Stedelijk Museum (Amsterdam), Migros Museum (Zurich), the Whitney Museum and the New Museum (New York), the MCA Chicago, MoCA Los Angeles and SFMOMA (San Francisco). In 2012 she participated in the Whitney Biennial, Liverpool Biennial and Gwangju Biennial.",2026,1
IT37,9,,"“Whose voices are heard, whose are silenced?” For Wu Tsang, who posed these questions in a statement from 2012, such interrogations are as relevant to social justice as they are to artistic expression.
In both her practice and everyday life, she intertwines aesthetic performance and political activism, from socially conscious performance and video art to free legal assistance and safe-haven spaces for immigrants and marginalized groups. As a filmmaker, multimedia artist, and performer, Tsang uses a notable range of inspirations, materials, and settings for her work, of which recent examples include video collaborations with scholar and poet Fred Moten and choreographed performances for the stage.             

In Wildness (2012), her first feature-length film, Tsang blends fact and fiction through documentary aspects and what the artist describes as “magical realism.”

The film’s title refers to a weekly club night that Tsang organized at Los Angeles’ Silver Platter, one of the city’s original gay bars and a recognized refuge for the Latinx trans community. By personifying the Silver Platter as a narrator, Tsang creates a composite character through which to share the perspectives and experiences of the bar’s patrons. “I was approaching it more as an activist trying to be a filmmaker,” Tsang said of the film. “I felt there was an important story to tell about the lives of my friends at the bar, many of whom were trans women and undocumented immigrants, often struggling with overlapping invisibilities, and thriving despite intense conditions of violence and policing.”

The film’s combination of celebratory imagery and moving personal stories allows Tsang to reconsider the notion of so-called safe space and the communities it serves.

In multiple works, Tsang incorporates audiovisual citations to emphasize the processes—and problems—of representation and recognition. Her 2008 video The Shape of a Right Statement, also filmed at the Silver Platter, captures Tsang’s reperformance of a text published in 2007 by autism rights activist Amanda Baggs. Standing before the Silver Platter’s sparkling stage curtain and looking into the camera, Tsang recontextualizes part of Baggs’s diaristic manifesto and speaks in a digitally modulated version of her own voice: “The way I naturally think and respond to things looks and feels so different from standard concepts…that some people do not consider it thought at all.” As Tsang rehearses the text before the camera, her eyes begin to glisten with tears. By restaging Baggs’s words as a form of video self-portraiture, the artist invites us to contemplate the complexities of language and the ambiguity of subjectivity, an invitation that may further prompt a reexamination of our beliefs about selfhood and individual experience.",2026,0
IT38,9,ArtistBio,"American, born 1982",2026,0
IT39,9,Gender,female,2026,0
